LAT,LONG,DMS_LAT,DMS_LONG,FC,DSG,PC,CC1,NT,LC,SHORT_FORM,GENERIC,SORT_NAME_RO,FULL_NAME_RO,FULL_NAME_ND_RO,SORT_NAME_RG,FULL_NAME_RG,FULL_NAME_ND_RG,NOTE,MODIFY_DATE,DISPLAY,NAME_RANK,NAME_LINK,TRANSL_CD
40.950073,43.850098,40:57:00N,43:51:00E,H,FLLS,,AM,N,hye,,,CHRRIK,Ch’rrik,Ch'rrik,CHRRIK,Ch’rrik,Ch'rrik,,17/10/2016,12,1,17784762,hye_Armn2Latn_BGN_1981
40.950073,43.850098,40:57:00N,43:51:00E,H,FLLS,,AM,NS,hye,,,Չռիկ,Չռիկ,Չռիկ,Չռիկ,Չռիկ,Չռիկ,,17/10/2016,12,,17783873,
40.35968,43.995911,40:21:35N,43:59:45E,H,FLLS,,AM,N,hye,,,TSLAN,Ts’lan,Ts'lan,TSLAN,Ts’lan,Ts'lan,,17/06/2016,12,1,17509892,hye_Armn2Latn_BGN_1981
40.35968,43.995911,40:21:35N,43:59:45E,H,FLLS,,AM,NS,hye,,,Ցլան,Ցլան,Ցլան,Ցլան,Ցլան,Ցլան,,17/06/2016,12,,17509173,
40.219482,45.058289,40:13:10N,45:03:30E,H,FLLS,,AM,N,hye,,,CHRRIJUR,Ch’rrijur,Ch'rrijur,CHRRIJUR,Ch’rrijur,Ch'rrijur,,11/10/2016,12,1,17765863,hye_Armn2Latn_BGN_1981
40.219482,45.058289,40:13:10N,45:03:30E,H,FLLS,,AM,NS,hye,,,Չռիջուր,Չռիջուր,Չռիջուր,Չռիջուր,Չռիջուր,Չռիջուր,,11/10/2016,12,,17765379,
40.826477,44.97229,40:49:35N,44:58:20E,H,FLLS,,AM,NS,hye,,,Շաղոտ,Շաղոտ,Շաղոտ,Շաղոտ,Շաղոտ,Շաղոտ,,04/11/2016,12,,17830562,
40.826477,44.97229,40:49:35N,44:58:20E,H,FLLS,,AM,N,hye,,,SHAGHOT,Shaghot,Shaghot,SHAGHOT,Shaghot,Shaghot,,04/11/2016,12,1,17830984,hye_Armn2Latn_BGN_1981
40.306885,43.915283,40:18:25N,43:54:55E,H,FLLS,,AM,NS,hye,,,Ցլան,Ցլան,Ցլան,Ցլան,Ցլան,Ցլան,,17/06/2016,12,,17508601,
40.306885,43.915283,40:18:25N,43:54:55E,H,FLLS,,AM,N,hye,,,TSLAN,Ts’lan,Ts'lan,TSLAN,Ts’lan,Ts'lan,,17/06/2016,12,1,17509438,hye_Armn2Latn_BGN_1981
40.498718,44.308289,40:29:55N,44:18:30E,H,FLLS,,AM,N,hye,,,TOVMASICHYRR,T’ovmasi Ch’yrr,T'ovmasi Ch'yrr,TOVMASICHYRR,T’ovmasi Ch’yrr,T'ovmasi Ch'yrr,,23/09/2016,12,1,17545120,hye_Armn2Latn_BGN_1981
40.498718,44.308289,40:29:55N,44:18:30E,H,FLLS,,AM,NS,hye,,,Թովմասիչըռ,Թովմասի չըռ,Թովմասի չըռ,Թովմասիչըռ,Թովմասի չըռ,Թովմասի չըռ,,23/09/2016,12,,17544027,
40.916687,44.116699,40:55:00N,44:07:00E,H,FLLS,,AM,NS,hye,,,Չիչկան,Չիչկան,Չիչկան,Չիչկան,Չիչկան,Չիչկան,,22/09/2016,12,,17716539,
40.916687,44.116699,40:55:00N,44:07:00E,H,FLLS,,AM,N,hye,,,CHICHKAN,Ch’ich’kan,Ch'ich'kan,CHICHKAN,Ch’ich’kan,Ch'ich'kan,,22/09/2016,12,1,17717383,hye_Armn2Latn_BGN_1981
40.862488,44.238892,40:51:45N,44:14:20E,H,FLLS,,AM,NS,hye,,,Չռչըռ,Չռչըռ,Չռչըռ,Չռչըռ,Չռչըռ,Չռչըռ,,22/09/2016,12,,17716556,
40.862488,44.238892,40:51:45N,44:14:20E,H,FLLS,,AM,N,hye,,,CHRRCHYRR,Ch’rrch’yrr,Ch'rrch'yrr,CHRRCHYRR,Ch’rrch’yrr,Ch'rrch'yrr,,22/09/2016,12,1,17717400,hye_Armn2Latn_BGN_1981
40.177917,45.63208,40:10:41N,45:37:55E,H,FLLS,,AM,NS,hye,,,Օրդոյի,Օրդոյի,Օրդոյի,Օրդոյի,Օրդոյի,Օրդոյի,,22/09/2016,12,,17714888,
40.177917,45.63208,40:10:41N,45:37:55E,H,FLLS,,AM,N,hye,,,ORDOYI,Ordoyi,Ordoyi,ORDOYI,Ordoyi,Ordoyi,,22/09/2016,12,1,17715352,hye_Armn2Latn_BGN_1981
40.848694,44.211121,40:50:55N,44:12:40E,H,FLLS,,AM,NS,hye,,,Չռիկ,Չռիկ,Չռիկ,Չռիկ,Չռիկ,Չռիկ,,22/09/2016,12,,17716219,
40.848694,44.211121,40:50:55N,44:12:40E,H,FLLS,,AM,N,hye,,,CHRRIK,Ch’rrik,Ch'rrik,CHRRIK,Ch’rrik,Ch'rrik,,22/09/2016,12,1,17717063,hye_Armn2Latn_BGN_1981
40.927917,44.536072,40:55:41N,44:32:10E,H,FLLS,,AM,NS,hye,,,Թռչկան,Թռչկան,Թռչկան,Թռչկան,Թռչկան,Թռչկան,,23/09/2016,12,,17721496,
40.927917,44.536072,40:55:41N,44:32:10E,H,FLLS,,AM,N,hye,,,TRRCHKAN,T’rrch’kan,T'rrch'kan,TRRCHKAN,T’rrch’kan,T'rrch'kan,,23/09/2016,12,1,17722346,hye_Armn2Latn_BGN_1981
40.913879,44.654297,40:54:50N,44:39:15E,H,FLLS,,AM,N,hye,,,CHRRCHRRIK,Ch’rrch’rrik,Ch'rrch'rrik,CHRRCHRRIK,Ch’rrch’rrik,Ch'rrch'rrik,,23/09/2016,12,1,17722867,hye_Armn2Latn_BGN_1981
40.913879,44.654297,40:54:50N,44:39:15E,H,FLLS,,AM,NS,hye,,,Չռչռիկ,Չռչռիկ,Չռչռիկ,Չռչռիկ,Չռչռիկ,Չռչռիկ,,23/09/2016,12,,17722017,
40.98053,44.662476,40:58:50N,44:39:45E,H,FLLS,,AM,N,hye,,,CHRRCHRRAN,Ch’rrch’rran,Ch'rrch'rran,CHRRCHRRAN,Ch’rrch’rran,Ch'rrch'rran,,23/09/2016,12,1,17722532,hye_Armn2Latn_BGN_1981
40.98053,44.662476,40:58:50N,44:39:45E,H,FLLS,,AM,NS,hye,,,Չռչռան,Չռչռան,Չռչռան,Չռչռան,Չռչռան,Չռչռան,,23/09/2016,12,,17721682,
39.473694,46.354309,39:28:25N,46:21:16E,H,FLLS,,AM,N,hye,,,SHRRAN,Shrran,Shrran,SHRRAN,Shrran,Shrran,,04/10/2016,12,1,17746888,hye_Armn2Latn_BGN_1981
39.473694,46.354309,39:28:25N,46:21:16E,H,FLLS,,AM,NS,hye,,,Շռան,Շռան,Շռան,Շռան,Շռան,Շռան,,04/10/2016,12,,17745672,
